id,data,model,score
45,XSUM,PG,-1.5053017173255852
18,XSUM,PG,0.45907036442747345
61,XSUM,BERT,0.20338256073419103
77,XSUM,BERT,-0.5987535842591305
10,XSUM,BERT,1.129933895104697
13,XSUM,BERT,-1.5053017173255852
76,XSUM,PG,-1.2343097764494633
99,XSUM,BERT,-0.33108319877431763
99,XSUM,PG,0.15942560884623183
33,XSUM,PG,-0.5796253944161963
86,XSUM,PG,-0.9524781579382963
82,XSUM,PG,-0.852607348697894
101,XSUM,BERT,0.06640802490370039
84,XSUM,BERT,1.1835453857849014
13,XSUM,PG,-1.3425574346087876
62,XSUM,BERT,0.7241145989889336
48,XSUM,PG,-0.3799554276149026
17,XSUM,PG,-1.3536119291342146
15,XSUM,BERT,-1.0862521672785235
123,XSUM,PG,-0.27757686630501327
89,XSUM,BERT,-1.047718294225005
23,XSUM,PG,-0.27759728206357825
36,XSUM,PG,-1.3536119291342146
108,XSUM,PG,-0.9344758108089429
66,XSUM,PG,-1.007497395213311
83,XSUM,BERT,0.8236050497177761
4,XSUM,PG,0.03902084158930467
19,XSUM,BERT,0.22170713310779452
125,XSUM,BERT,-1.335497154363375
34,XSUM,BERT,-0.9841090460847516
17,XSUM,BERT,0.05106068284349726
56,XSUM,PG,-0.39809549674742023
83,XSUM,PG,-0.29653436854709997
46,XSUM,BERT,-0.9919279039839317
26,XSUM,BERT,1.303286151209367
65,XSUM,BERT,-0.6926354689015236
122,XSUM,PG,0.4206197738979356
93,XSUM,BERT,-1.534509585263842
30,XSUM,BERT,1.3674410946403832
92,XSUM,PG,-0.36369134221209043
9,XSUM,PG,0.41217105789402825
73,XSUM,BERT,0.5796306817909805
34,XSUM,PG,-0.810857390855719
106,XSUM,BERT,-1.5110530115663021
78,XSUM,BERT,-1.2484014710044564
43,XSUM,BERT,-0.9894430738381871
57,XSUM,PG,-1.2689484825609265
120,XSUM,BERT,-0.18319776972783486
105,XSUM,PG,-0.7403124154354318
102,XSUM,PG,-0.44504605964366933
64,XSUM,PG,-1.2028890126146974
103,XSUM,BERT,0.6794257087336514
50,XSUM,BERT,-1.2689484825609265
39,XSUM,BERT,0.07268692008355553
65,XSUM,PG,-0.8093060343174036
109,XSUM,PG,0.6518551915926839
124,XSUM,BERT,0.10146133269297986
79,XSUM,PG,-0.6161112730700412
44,XSUM,BERT,-0.9894499585874693
133,XSUM,PG,-1.1756597648328981
70,XSUM,BERT,-1.2689484825609265
126,XSUM,PG,0.03559541490315358
0,XSUM,BERT,-0.5731722191546785
123,XSUM,BERT,0.29735243453350424
100,XSUM,PG,-0.6581243692095516
126,XSUM,BERT,1.0487524435005662
108,XSUM,BERT,1.2675358905804657
48,XSUM,BERT,-0.5583883707969676
