id,data,model,score
91,CNNDM,PG,0.4624839386274096
94,CNNDM,BERT,-0.5689432586053429
118,CNNDM,PG,0.35859137434357874
32,CNNDM,BERT,0.7802173793500673
105,CNNDM,BERT,0.7060183888522887
38,CNNDM,PG,0.21220396663509747
109,CNNDM,PG,0.2901849468039466
77,CNNDM,PG,0.11614245623044615
79,CNNDM,PG,1.5964931421431647
16,CNNDM,BERT,0.3312580708534667
110,CNNDM,BERT,0.6302922035150906
71,CNNDM,PG,-1.3192893785110897
127,CNNDM,BERT,0.9299338428228441
38,CNNDM,BERT,0.046554618942524946
81,CNNDM,BERT,1.222167438244907
51,CNNDM,PG,0.06423100191235803
50,CNNDM,PG,0.594784067333997
65,CNNDM,PG,1.4095851015591652
113,CNNDM,BERT,0.6411251175538847
131,CNNDM,BERT,1.02316448624338
69,CNNDM,BERT,-0.017587807246178106
42,CNNDM,PG,0.7926455855795508
0,CNNDM,BERT,0.9654376918554674
55,CNNDM,PG,0.6925112975048693
42,CNNDM,BERT,-0.17379715792704395
57,CNNDM,PG,-0.7096907518061664
8,CNNDM,BERT,-0.32947489919497513
55,CNNDM,BERT,-0.24159825816843075
22,CNNDM,PG,0.8316279997775003
106,CNNDM,BERT,0.8911352253166888
84,CNNDM,PG,-0.44110758188277827
96,CNNDM,BERT,1.372005942979384
124,CNNDM,BERT,-0.6404152764391955
103,CNNDM,BERT,1.461121418125577
98,CNNDM,PG,0.6413139729133378
78,CNNDM,PG,-0.5520259564196829
120,CNNDM,PG,0.09406055341461013
75,CNNDM,BERT,0.18366754254263026
119,CNNDM,BERT,0.25262540509198844
59,CNNDM,BERT,0.3441912129116272
27,CNNDM,BERT,0.3480574311116423
37,CNNDM,PG,0.33166396831139083
60,CNNDM,BERT,0.9863483503446577
89,CNNDM,BERT,1.1978547427851252
56,CNNDM,BERT,0.300234261023668
88,CNNDM,PG,-0.14245137650890713
134,CNNDM,PG,0.7153564094685355
79,CNNDM,BERT,0.6741763501631798
22,CNNDM,BERT,1.0372787616676467
58,CNNDM,PG,1.0584134541290304
74,CNNDM,BERT,0.975508672709613
34,CNNDM,BERT,-0.04137267445427934
28,CNNDM,PG,-0.05767514888072778
28,CNNDM,BERT,0.46827605363640057
14,CNNDM,BERT,1.1360846538270915
100,CNNDM,BERT,0.2211956978042656
44,CNNDM,PG,-0.08732439833349186
48,CNNDM,PG,0.20060566815158767
52,CNNDM,PG,0.07706549023552017
131,CNNDM,PG,0.03004278161564973
53,CNNDM,BERT,-1.1828463227710222
36,CNNDM,BERT,0.07817780825671532
51,CNNDM,BERT,-0.5143004469857354
114,CNNDM,BERT,0.3158485183214687
67,CNNDM,PG,1.7915939483799495
77,CNNDM,BERT,0.5330109736512334
91,CNNDM,BERT,1.3353874725982073
43,CNNDM,PG,1.4258690609554137
87,CNNDM,PG,0.8558482263002641
81,CNNDM,PG,1.2849135139909649
86,CNNDM,PG,-0.7973451171701559
122,CNNDM,PG,0.7584875638236311
90,CNNDM,BERT,0.650084571484611
13,CNNDM,PG,-0.15965260538908274
20,CNNDM,PG,0.9040632834919858
17,CNNDM,PG,-1.1568816779965252
68,CNNDM,BERT,0.5328326323352471
129,CNNDM,BERT,0.5615542845236082
66,CNNDM,BERT,0.23349631685923578
33,CNNDM,BERT,-0.4683360401140093
35,CNNDM,PG,-0.6525564657845202
104,CNNDM,BERT,0.6948785505914269
56,CNNDM,PG,0.23997773128954047
128,CNNDM,PG,0.21045051862353858
1,CNNDM,PG,0.21236461404160656
126,CNNDM,BERT,-0.680814437575236
14,CNNDM,PG,0.5183497639470899
4,CNNDM,BERT,0.4941907750369938
85,CNNDM,BERT,0.3271516039933266
44,CNNDM,BERT,-0.514194407442641
107,CNNDM,PG,0.2629027693466735
76,CNNDM,PG,-0.657147146684041
63,CNNDM,BERT,-0.0009634147789148543
113,CNNDM,PG,0.24604272578033393
101,CNNDM,BERT,-0.43838717448504066
20,CNNDM,BERT,0.9393326209979483
95,CNNDM,PG,0.6618292961726279
125,CNNDM,PG,-0.06453936069174726
47,CNNDM,BERT,-0.7484890303194117
60,CNNDM,PG,1.0330794782515647
61,CNNDM,BERT,0.6316380322580609
30,CNNDM,PG,0.8720725822123684
58,CNNDM,BERT,0.8525242907262994
1,CNNDM,BERT,1.309189440032964
121,CNNDM,PG,0.5256792173036071
70,CNNDM,PG,0.22572175545011838
11,CNNDM,PG,-1.0242011852975468
11,CNNDM,BERT,0.6391690289032806
121,CNNDM,BERT,0.5869306086687623
130,CNNDM,PG,-0.10151293240491073
67,CNNDM,BERT,-0.48399855657559776
71,CNNDM,BERT,-0.10154016540740796
48,CNNDM,BERT,0.5011835669164033
63,CNNDM,PG,-0.6830760465442763
17,CNNDM,BERT,-0.5053285968925754
120,CNNDM,BERT,-0.4638669445690072
82,CNNDM,PG,-0.43418722843157687
23,CNNDM,PG,-1.1863928071244183
134,CNNDM,BERT,0.28244279725522087
57,CNNDM,BERT,0.6820310837744433
110,CNNDM,PG,0.5328726533593923
125,CNNDM,BERT,1.308679780594519
132,CNNDM,BERT,0.9819589891674271
72,CNNDM,BERT,0.8068140617547114
26,CNNDM,BERT,1.1321346476438146
105,CNNDM,PG,1.4033022146590521
73,CNNDM,PG,0.2016672421871111
61,CNNDM,PG,0.14770216475471307
13,CNNDM,BERT,-0.08828235443778641
65,CNNDM,BERT,0.9522241001470618
37,CNNDM,BERT,-0.2836690265616751
123,CNNDM,BERT,-0.0039631809332504415
2,CNNDM,PG,0.01872872740043959
108,CNNDM,PG,-0.15584273302546328
103,CNNDM,PG,0.05931556288361506
75,CNNDM,PG,-0.606283534306527
4,CNNDM,PG,0.9971838406865325
96,CNNDM,PG,0.7843154008443105
9,CNNDM,PG,0.3012774516791229
89,CNNDM,PG,0.4005515371972181
2,CNNDM,BERT,0.016216724430918632
5,CNNDM,PG,-0.07623691238848813
82,CNNDM,BERT,0.4014962651199254
111,CNNDM,PG,-0.0039019087829649433
40,CNNDM,BERT,0.873622807500456
45,CNNDM,PG,-0.26086479010423586
117,CNNDM,BERT,-0.1425494853244851
5,CNNDM,BERT,-0.4818497100330943
130,CNNDM,BERT,-0.7523946414147424
